"Ticker","ISIN","SEDOL","Price (£)","Coupon (%)","Maturity Date","Years to Maturity","Gross Equiv. Yield"
"TN24","GB00BMGR2791","BMGR279",98.22,0.125,2024-01-31,0.372,9.116
"TN25","GB00BLPK7110","BLPK711",93.985,0.25,2025-01-31,1.374,8.656
"TG24","GB00BFWFPL34","BFWFPL3",97.6,1,2024-04-22,0.597,8.596
"TG25","GB00BK5CVX03","BK5CVX0",93.31,0.625,2025-06-07,1.722,8.109
"T26","GB00BL68HJ26","BL68HJ2",90.33,0.125,2026-01-30,2.371,8.099
"TG2A","GB00BNNGP668","BNNGP66",88.21,0.375,2026-10-22,3.097,7.907
"TN28","GB00BMBL1G81","BMBL1G8",83.46,0.125,2028-01-31,4.372,7.806
"TG31","GB00BMGR2809","BMGR280",73.33,0.25,2031-07-31,7.869,7.57
"TG29","GB00BLPK7227","BLPK722",81.72,0.5,2029-01-31,5.374,7.475
"TG30","GB00BL68HH02","BL68HH0",76.48,0.375,2030-10-22,7.097,7.388
