"Ticker","ISIN","SEDOL","Price (£)","Coupon (%)","Maturity Date","Years to Maturity","Gross Equiv. Yield"
"TN24","GB00BMGR2791","BMGR279",98.52,0.125,2024-01-31,0.312,8.287
"TG24","GB00BFWFPL34","BFWFPL3",97.91,1,2024-04-22,0.537,7.732
"TN25","GB00BLPK7110","BLPK711",94.445,0.25,2025-01-31,1.314,7.669
"T26","GB00BL68HJ26","BL68HJ2",90.77,0.125,2026-01-30,2.311,7.264
"TG25","GB00BK5CVX03","BK5CVX0",93.77,0.625,2025-06-07,1.662,7.226
"TN28","GB00BMBL1G81","BMBL1G8",83.64,0.125,2028-01-31,4.312,7.18
"TG2A","GB00BNNGP668","BNNGP66",88.59,0.375,2026-10-22,3.036,7.174
"TG31","GB00BMGR2809","BMGR280",72.97,0.25,2031-07-31,7.808,7.123
"TG35","GB00BMGR2916","BMGR291",63.955,0.625,2035-07-31,11.808,7.066
"TG50","GB00BMBL1F74","BMBL1F7",36.09,0.625,2050-10-22,27.036,7.022
