"Ticker","ISIN","SEDOL","Price (£)","Coupon (%)","Maturity Date","Years to Maturity","Regular","Fixed-Term","HL_Link"
"T23","GB00B7Z53659","B7Z5365",99.92,2.25,2023-09-07,0.014,8.433,8.433,"https://www.hl.co.uk/shares/shares-search-results/B7Z5365"
"T24","GB00BHBFH458","BHBFH45",97.67,2.75,2024-09-07,1.016,5.162,5.162,"https://www.hl.co.uk/shares/shares-search-results/BHBFH45"
"TG24","GB00BFWFPL34","BFWFPL3",97.49,1,2024-04-22,0.638,5.108,5.108,"https://www.hl.co.uk/shares/shares-search-results/BFWFPL3"
"TY25","GB00BPCJD880","BPCJD88",96.77,3.5,2025-10-22,2.138,5.033,5.033,"https://www.hl.co.uk/shares/shares-search-results/BPCJD88"
"TN24","GB00BMGR2791","BMGR279",98.05,0.125,2024-01-31,0.413,5.01,5.01,"https://www.hl.co.uk/shares/shares-search-results/BMGR279"
"TN25","GB00BLPK7110","BLPK711",93.7,0.25,2025-01-31,1.415,4.966,4.966,"https://www.hl.co.uk/shares/shares-search-results/BLPK711"
"T25","GB00BTHH2R79","BTHH2R7",94.43,2,2025-09-07,2.015,4.922,4.922,"https://www.hl.co.uk/shares/shares-search-results/BTHH2R7"
"TG25","GB00BK5CVX03","BK5CVX0",92.94,0.625,2025-06-07,1.763,4.89,4.89,"https://www.hl.co.uk/shares/shares-search-results/BK5CVX0"
"TR25","GB0030880693","3088069",100.09,5,2025-03-07,1.511,4.876,4.876,"https://www.hl.co.uk/shares/shares-search-results/3088069"
"TG2A","GB00BNNGP668","BNNGP66",87.68,0.375,2026-10-22,3.138,4.669,4.669,"https://www.hl.co.uk/shares/shares-search-results/BNNGP66"
