"Ticker","ISIN","SEDOL","Price (£)","Coupon (%)","Maturity Date","Years to Maturity","Regular","Fixed-Term","HL_Link"
"T23","GB00B7Z53659","B7Z5365",99.92,2.25,2023-09-07,0.014,9.933,10.028,"https://www.hl.co.uk/shares/shares-search-results/B7Z5365"
"TN24","GB00BMGR2791","BMGR279",98.05,0.125,2024-01-31,0.413,6.229,6.252,"https://www.hl.co.uk/shares/shares-search-results/BMGR279"
"TN25","GB00BLPK7110","BLPK711",93.7,0.25,2025-01-31,1.415,6.142,6.127,"https://www.hl.co.uk/shares/shares-search-results/BLPK711"
"TG24","GB00BFWFPL34","BFWFPL3",97.49,1,2024-04-22,0.638,6.124,6.137,"https://www.hl.co.uk/shares/shares-search-results/BFWFPL3"
"TG25","GB00BK5CVX03","BK5CVX0",92.94,0.625,2025-06-07,1.763,5.95,5.925,"https://www.hl.co.uk/shares/shares-search-results/BK5CVX0"
"T26","GB00BL68HJ26","BL68HJ2",89.91,0.125,2026-01-30,2.412,5.766,5.722,"https://www.hl.co.uk/shares/shares-search-results/BL68HJ2"
"T24","GB00BHBFH458","BHBFH45",97.67,2.75,2024-09-07,1.016,5.749,5.749,"https://www.hl.co.uk/shares/shares-search-results/BHBFH45"
"TG2A","GB00BNNGP668","BNNGP66",87.68,0.375,2026-10-22,3.138,5.739,5.674,"https://www.hl.co.uk/shares/shares-search-results/BNNGP66"
"T25","GB00BTHH2R79","BTHH2R7",94.43,2,2025-09-07,2.015,5.647,5.617,"https://www.hl.co.uk/shares/shares-search-results/BTHH2R7"
"TN28","GB00BMBL1G81","BMBL1G8",82.87,0.125,2028-01-31,4.413,5.567,5.472,"https://www.hl.co.uk/shares/shares-search-results/BMBL1G8"
